,date,score,text,age,sex
0,2021-12-23,5,健康のために飲んでいます、いつもありがとあございます,,
1,2021-12-23,2,他のメーカーだとDHA○mgといった成分表示ですが、こちらの製品は｢DHA含有精製魚油○mg｣という表示なのが気になりました。DHAやEPA単体での成分を明記してほしいです。パッケージにもDHAやEPAの成分記載がないので、やはりリーズナブルなだけに含有量は少ないのかな？と思ってしまいました。,30,女性
2,2021-12-22,5,からだが楽になったような気がします。このまま継続します。,60,男性
3,2021-12-21,5,すぐに届いて良かったです。また機会がありましたら、宜しくお願いします。,40,男性
4,2021-12-19,3,医者の薬も飲んでますからよくわからないですが、飲み初めからは血液検査の数値が改善しました。とりあえず毎日続けてます。,50,男性
5,2021-12-17,5,リピーターです。これを飲み始めてからコレステロール値が下がりました。毎日欠かさず飲み続けています。,40,女性
6,2021-12-16,5,もう何年ものんでます。これからも毎日の習慣です。,60,女性
7,2021-12-16,3,手頃な値段で3ヶ月分もありいい商品だと思います,50,男性
8,2021-12-16,4,口コミがいいので試しに購入します！到着をお待ちしています！,50,女性
9,2021-12-15,4,リピート購入です。効果はいまいち分かりませんが、身体のために。質の良い商品が安く購入出来るので、助かります。,50,女性
10,2021-12-15,5,とてもお安く良い商品だと思います。健康に役立てられる商品で良かったです。,,
11,2021-12-14,4,朝起きてからの体調がいいので、続けて飲もうと思います。,60,女性
12,2021-12-14,5,無くなると買ってしまう・・・もうないと困る商品です！安く購入できて良かったです！,,
13,2021-12-14,5,リピートです。なんとなく以前より身体がクリアな感じがしてます。兄弟にもあげようとあえてこちらを複数購入しました。,,
14,2021-12-13,4,不足している要素の補充にと２回目の購入です。まだ効果は何とも言えませんが、飲み続けてみようと思います。臭い？や脂？は３か月目に入りましたが感じられません。発送が早くすぐに始められました。,50,男性
15,2021-12-13,5,ずーっとリピートしています。このサプリのおかげか、血液検査の度に、コレステロール値や血管年齢が素晴らしいと褒められます。ショップ様の対応も気持ちよく、迅速なので助かります。またリピートします。,40,女性
16,2021-12-12,4,久しぶりに購入です。ちょっとお魚で健康になってみようかと思ってます。,,
17,2021-12-12,5,飲み続けています。効果わかりまでんが、これからも飲み続けていきます。,60,男性
18,2021-12-12,5,にくがすきなのでなかなか魚を食べません。オメガ３を飲むと健康面で安心できます。,70,男性
19,2021-12-11,5,リピートです。前回購入させていただいた後、血液検査で中性脂肪の値が格段に下がっていたので、また購入させていただきました^ ^運動等すればいいのですが、ついこの商品に頼ってしまいます(笑)飲み続ける価値はあると思います！,50,女性
20,2021-12-11,4,他社の商品を購入してましたが、無くなったので此方の商品を購入してみましたが、価格は安いのですが品質は此からのお試しなのでまだわかりません。,60,男性
21,2021-12-09,5,脂っこい食事が多いので健康維持の為にと思いオメガ３初めての購入です。国産で安いのが決め手ですね！,50,男性
22,2021-12-09,3,同じくオーガランドのセサミンと1日おきに交替で食している。このペースが合っているようだ。,70,男性
23,2021-12-09,4,購入しました年齢と共に食べ物だけでは無理なので今回このサプリを試しに飲んで見ますまだ効果は出ませんが何となくいい感じがしてます,50,女性
24,2021-12-08,5,普段不足しやすい物が手軽に取れるので、飲みやすいし安心感で毎日頂いて居ます。,70,女性
25,2021-12-07,5,初めてオメガを購入しましたこれからの季節体調管理に役立てたいです。,40,男性
26,2021-12-07,5,オメガ３脂肪酸、今までに耳にした事は有るものです。気にしてはいなかったのですが、肝臓にとても良いものだと言う事を知り購入しました。,50,女性
27,2021-12-07,4,うっかりが増えてきたので、少しでもマシになって欲しくて購入してみました。効果があれば、続けたいと思います。,50,女性
28,2021-12-05,3,粒が小さく飲みやすい。効果はわかりませんが、安いし定期購入の縛りがないから試しやすかった。,50,女性
29,2021-12-04,4,体に良いのかなぁと思って、続けて飲んでいます。効果はよくわからないです。,50,女性
30,2021-12-02,5,"高齢者は認知症予防のためにもDHA,EPAを多く服用する方が良いと娘に言われてから、夫婦が継続して服用しています。二人共に今のところ脳は正常です。",70,男性
31,2021-12-02,4,健康診断で中性脂肪の数値が高く、こちらのサプリを購入しました。こちらのショップは手頃なお値段でサプリを購入できいつも助かっています。,,
32,2021-12-02,4,食生活に気をつけていますが、やはり魚は中々沢山食べる事がないので、サプリで補っています。何度か注文させて貰っていますが、いつも発送が早いので助かります。お手頃なので、注文しやすいです。,,
33,2021-12-01,5,小さめのカプセルで、サイズも形も飲みやすい。今まで飲んできたオイル状のカプセルサプリの中で、1番だと思う。,,
34,2021-12-01,4,オメガ3ということで体に良いと思い購入、今後の体調により購入を考えていきたいです。,60,男性
35,2021-12-01,5,オメガ3とDHA.EPAを同時に摂れるサプリです。お値段も手頃なので、継続出来そうです。,50,女性
36,2021-11-30,5,健康のためにしばらく続けてみます。ありがとうございました。,50,女性
37,2021-11-30,4,サプリメントですので明確な効果は感じませんが、飲みやすいのでリピート買いしています。,50,男性
38,2021-11-28,4,リピート購入です。効果はまだ実感出来ませんが、健康の為と思って、続けています。続けやすい値段なのも、嬉しいですね。,,
39,2021-11-28,5,アラフォーになり婦人科系の動悸息切れか、血管の汚れかわからないが、ダメ元で血液サラサラ効果を期待して飲み始めて3ヶ月以上。気づいたら動悸がおさまっていて効果を感じています。,40,女性
40,2021-11-28,5,リピです｡飲み始めてからとても体調が良いので飲み続けています｡クーポンやポイントupセールなどでお安く買えるので 嬉しいです(∩´∀`∩),,
41,2021-11-27,4,健康のため続けて愛飲してます。いろいろ試してみてますが、コスパがよいと思って戻ってきました。,30,男性
42,2021-11-27,5,安くて、これなら毎日頑張れる気がしました。,40,女性
43,2021-11-26,5,オメガ3に期待して、効果を楽しみにしてます。,60,男性
44,2021-11-25,5,飲み続けて半年ですが健康診断血液検査は問題無し。1年前はところどころ数値高い項目が有りましたが､､､効果有り&#8265;&#65038;,,
